hit num,title,year,authors,key,ee,venue_category
32,A new meta-module for efficient reconfiguration of hinged-units modular robots.,2016,Irene Parada & Vera Sacristán & Rodrigo I. Silveira,conf/icra/ParadaSS16,https://doi.org/10.1109/ICRA.2016.7487726,Robotics
54,Object Reconfiguration with Simulation-Derived Feasible Actions.,2023,Yiyuan Lee & Wil Thomason & Zachary K. Kingston & Lydia E. Kavraki,conf/icra/LeeTKK23,https://doi.org/10.1109/ICRA48891.2023.10160377,Robotics
71,Distributed plan reconfiguration via knowledge transfer in multi-agent systems under local LTL specifications.,2014,Meng Guo 0002 & Dimos V. Dimarogonas,conf/icra/GuoD14,https://doi.org/10.1109/ICRA.2014.6907485,Robotics
74,Fast stochastic motion planning with optimality guarantees using local policy reconfiguration.,2014,Ryan Luna & Morteza Lahijanian & Mark Moll & Lydia E. Kavraki,conf/icra/LunaLMK14,https://doi.org/10.1109/ICRA.2014.6907293,Robotics
79,Magnetically-Connected Modular Reconfigurable Mini-robotic System with Bilateral Isokinematic Mapping and Fast On-site Assembly towards Minimally Invasive Procedures.,2021,Xiao Xiao & Shilei Xu & Changsheng Li & Xiaoyi Gu & Huxin Gao & Max Q.-H. Meng & Hongliang Ren 0001,conf/icra/XiaoXLGGM021,https://doi.org/10.1109/ICRA48506.2021.9561141,Robotics
86,Global/local motion planning based on Dynamic Trajectory Reconfiguration and Dynamical Systems for Autonomous Surgical Robots.,2020,Narcís Sayols & Alessio Sozzi & Nicola Piccinelli & Albert Hernansanz & Alicia Casals & Marcello Bonfè & Riccardo Muradore,conf/icra/SayolsSPHCBM20,https://doi.org/10.1109/ICRA40945.2020.9197525,Robotics
120,Distributed computation of forces in modular-robotic ensembles as part of reconfiguration planning.,2017,Pawel Holobut & Jakub Lengiewicz,conf/icra/HolobutL17,https://doi.org/10.1109/ICRA.2017.7989242,Robotics
132,Coordinated Control of a Reconfigurable Multi-Vessel Platform: Robust Control Approach.,2019,Shinkyu Park & Erkan Kayacan & Carlo Ratti & Daniela Rus,conf/icra/ParkKRR19,https://doi.org/10.1109/ICRA.2019.8794075,Robotics
133,Fault tolerance analysis of a hexarotor with reconfigurable tilted rotors.,2020,Claudio D. Pose & Juan I. Giribet & Ignacio Mas,conf/icra/PoseGM20,https://doi.org/10.1109/ICRA40945.2020.9196552,Robotics
142,Multi-fingered robotic hand planner for object reconfiguration through a rolling contact evolution model.,2013,Juan Antonio Corrales Ramon & Véronique Perdereau & Fernando Torres Medina,conf/icra/RamonPM13,https://doi.org/10.1109/ICRA.2013.6630638,Robotics
143,A reconfiguration strategy for Reconfigurable Cable-Driven Parallel Robots.,2015,Lorenzo Gagliardini & Stéphane Caro & Marc Gouttefarde & Alexis Girin,conf/icra/GagliardiniCGG15,https://doi.org/10.1109/ICRA.2015.7139404,Robotics
147,A hybrid plastic-fabric soft bending actuator with reconfigurable bending profiles.,2017,Rainier F. Natividad & Manuel R. Del Rosario & Peter C. Y. Chen & Chen-Hua Yeow,conf/icra/NatividadRCY17,https://doi.org/10.1109/ICRA.2017.7989792,Robotics
157,Reconfiguration Analysis and Motion Planning of a Novel Reconfigurable Mobile Manipulator Torso.,2018,Wan Ding & Tim Detert & Jorge De La Cruz & Burkhard Corves,conf/icra/DingDCC18,https://doi.org/10.1109/ICRA.2018.8460214,Robotics
161,Reconfigurable Motion Planning and Control in Obstacle Cluttered Environments under Timed Temporal Tasks.,2019,Christos K. Verginis & Constantinos Vrohidis & Charalampos P. Bechlioulis & Kostas J. Kyriakopoulos & Dimos V. Dimarogonas,conf/icra/VerginisVBKD19,https://doi.org/10.1109/ICRA.2019.8794000,Robotics
163,Design of manually reconfigurable modular manipulator with three revolute joints and links.,2016,Seonghun Hong 0001 & Dong-Eun Choi & Sungchul Kang & Hyeongcheol Lee & Woosub Lee,conf/icra/HongCKLL16,https://doi.org/10.1109/ICRA.2016.7487728,Robotics
166,Quasi-static evaluation of a modular and Reconfigurable Manufacturing Cell.,2013,Aditya N. Das & Stephen Savoie,conf/icra/DasS13,https://doi.org/10.1109/ICRA.2013.6630585,Robotics
169,Learning to Control Reconfigurable Staged Soft Arms.,2020,Austin Nicolai & Gina Olson & Yigit Mengüç & Geoffrey A. Hollinger,conf/icra/NicolaiOMH20,https://doi.org/10.1109/ICRA40945.2020.9197516,Robotics
173,Full-resolution reconfiguration planning for heterogeneous cube-shaped modular robots with only sliding motion primitive.,2016,Hiroshi Kawano,conf/icra/Kawano16,https://doi.org/10.1109/ICRA.2016.7487730,Robotics
184,A Multi-VTOL Modular Aspect Ratio Reconfigurable Aerial Robot.,2022,Stephen J. Carlson & Prateek Arora & Christos Papachristos,conf/icra/CarlsonAP22,https://doi.org/10.1109/ICRA46639.2022.9811542,Robotics
193,On the analysis of large-dimension reconfigurable suspended cable-driven parallel robots.,2014,Dinh Quan Nguyen & Marc Gouttefarde & Olivier Company & François Pierrot,conf/icra/NguyenGCP14,https://doi.org/10.1109/ICRA.2014.6907701,Robotics
255,Reconfigurable Magnetic Microswarm for Thrombolysis under Ultrasound Imaging.,2020,Qianqian Wang & Ben Wang & Jiangfan Yu & Kathrin Schweizer & Bradley J. Nelson & Li Zhang 0010,conf/icra/WangWYSNZ20,https://doi.org/10.1109/ICRA40945.2020.9197432,Robotics
265,M3Express: A low-cost independently-mobile reconfigurable modular robot.,2012,Kevin C. Wolfe & Matthew Moses & Michael Dennis Mays Kutzer & Gregory S. Chirikjian,conf/icra/WolfeMKC12,https://doi.org/10.1109/ICRA.2012.6224971,Robotics
290,"Design optimization of a bone-attached, redundant and reconfigurable parallel kinematic device for skull surgery.",2014,Jan-Philipp Kobler & Jens Kotlarski & G. Jakob Lexow & Omid Majdani & Tobias Ortmaier,conf/icra/KoblerKLMO14,https://doi.org/10.1109/ICRA.2014.6907187,Robotics
316,WheeLeR: Wheel-Leg Reconfigurable Mechanism with Passive Gears for Mobile Robot Applications.,2019,Chuanqi Zheng & Kiju Lee,conf/icra/ZhengL19a,https://doi.org/10.1109/ICRA.2019.8793686,Robotics
340,Resilience in multi-robot target tracking through reconfiguration.,2020,Ragesh K. Ramachandran & Nicole Fronda & Gaurav S. Sukhatme,conf/icra/RamachandranFS20,https://doi.org/10.1109/ICRA40945.2020.9196961,Robotics
350,Reinforcement Learning Control of a Reconfigurable Planar Cable Driven Parallel Manipulator.,2023,Adhiti Raman & Amey A. Salvi & Matthias J. Schmid & Venkat Krovi,conf/icra/RamanSSK23,https://doi.org/10.1109/ICRA48891.2023.10160498,Robotics
399,Minimum-Effort Task-based Design Optimization of Modular Reconfigurable Robots.,2021,Edoardo Romiti & Navvab Kashiri & Jörn Malzahn & Nikos G. Tsagarakis,conf/icra/RomitiKMT21,https://doi.org/10.1109/ICRA48506.2021.9561273,Robotics
402,Reconfigurable Network for Efficient Inferencing in Autonomous Vehicles.,2019,Shihong Fang & Anna Choromanska,conf/icra/FangC19,https://doi.org/10.1109/ICRA.2019.8794064,Robotics
413,Dynamic Reconfiguration of Mission Parameters in Underwater Human-Robot Collaboration.,2018,Md Jahidul Islam & Marc Ho & Junaed Sattar,conf/icra/IslamHS18,https://doi.org/10.1109/ICRA.2018.8461197,Robotics
425,Environment Reconfiguration Planning for Autonomous Robotic Manipulation to overcome Mobility Constraints.,2021,Prateek Arora & Christos Papachristos,conf/icra/AroraP21,https://doi.org/10.1109/ICRA48506.2021.9560799,Robotics
427,A Novel Reconfigurable Revolute Joint with Adjustable Stiffness.,2019,Zhongyi Li & Weihai Chen & Shaoping Bai,conf/icra/LiCB19,https://doi.org/10.1109/ICRA.2019.8793906,Robotics
428,First demonstration of a modular and reconfigurable magnetic-manipulation system.,2015,Andrew J. Petruska & Joseph B. Brink & Jake J. Abbott,conf/icra/PetruskaBA15,https://doi.org/10.1109/ICRA.2015.7138993,Robotics
432,The Reconfigurable Aerial Robotic Chain: Modeling and Control.,2020,Huan Nguyen 0003 & Tung Dang & Kostas Alexis,conf/icra/0003DA20,https://doi.org/10.1109/ICRA40945.2020.9197184,Robotics
446,Dynamic Reconfiguration Manipulability analyses of humanoid bipedal walking.,2013,Yosuke Kobayashi & Mamoru Minami & Akira Yanou & Tomohide Maeba,conf/icra/KobayashiMYM13,https://doi.org/10.1109/ICRA.2013.6631258,Robotics
472,Coaxial Modular Aerial System and the Reconfiguration Applications.,2023,José Baca & Syed Izzat Ullah & Pablo Rangel,conf/icra/BacaUR23,https://doi.org/10.1109/ICRA48891.2023.10161064,Robotics
473,Recognition and Reconfiguration of Lattice-Based Cellular Structures by Simple Robots.,2020,Eike Niehs & Arne Schmidt 0001 & Christian Scheffer & Daniel E. Biediger & Michael Yannuzzi & Benjamin Jenett & Amira Abdel-Rahman & Kenneth C. Cheung & Aaron T. Becker & Sándor P. Fekete,conf/icra/Niehs0SBYJACBF20,https://doi.org/10.1109/ICRA40945.2020.9196700,Robotics
